"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Human Machine Interface for Human Exoskeleton","US2013231595 (A1); US9295604 (B2)","2013-09-05","ZOSS ADAM [US];  STRAUSSER KATHERINE [US];  SWIFT TIM [US];  ANGOLD RUSS [US];  BURNS JON [US];  KAZEROONI HOMAYOON [US];  FAIRBANKS DYLAN [US];  HARDING NATHAN [US]","ZOSS ADAM [US];  STRAUSSER KATHERINE [US];  SWIFT TIM [US];  ANGOLD RUSS [US];  BURNS JON [US];  KAZEROONI HOMAYOON [US];  FAIRBANKS DYLAN [US];  HARDING NATHAN [US];  UNIV CALIFORNIA [US];  EKSO BIONICS [US]","A61H1/00","A61H1/00; A61H1/0255; A61H3/00; A61H3/02; A61H3/04; A61H2201/1616; A61H2201/163; A61H2201/1642; A61H2201/5007; A61H2201/5061; A61H2201/5064; A61H2201/5069; A61H2201/5079; A61H2201/5092","US201113824161","20110919","US20100403554P 20100917; WO2011US52151 20110919; US20100390337P 20101006; US201113824161 20110919","US2011066088 (A1); US8057410 (B2); US2013226048 (A1); US2013237884 (A1); US2014100492 (A1); US2014196757 (A1); US2014276261 (A1); US8057410 (B2); US2011066088 (A1); US2013226048 (A1); US2013237884 (A1); US2014100492 (A1); US2014196757 (A1); US2014276261 (A1)","","","","","","","","US4697808 (A); US7153242 (B2); US7346396 (B2); US7396337 (B2); US7437202 (B2); US7883546 (B2); US7901368 (B2); US7918808 (B2); US7947004 (B2); US8096965 (B2); US2008009771 (A1); US2009036804 (A1); US2009062698 (A1)","","","","",""
"HUMAN GRASP ASSIST DEVICE WITH EXOSKELETON","US2013219585 (A1); US8849453 (B2)","2013-08-29","BERGELIN BRYAN J [US];  IHRKE CHRIS A [US];  DAVIS DONALD R [US];  LINN DOUGLAS MARTIN [US];  BRIDGWATER LYNDON B J [US]","BERGELIN BRYAN J [US];  IHRKE CHRIS A [US];  DAVIS DONALD R [US];  LINN DOUGLAS MARTIN [US];  BRIDGWATER LYNDON B J [US];  NASA [US];  GM GLOBAL TECH OPERATIONS INC [US]","A41D19/00","B25J9/0006","US201213408656","20120229","US201213408656 20120229","US2011071664 (A1); US5912658 (A); US6413229 (B1); US5912658 (A); US6413229 (B1); US2011071664 (A1)","","","","","","","","US5117700 (A); US5845540 (A); US5967580 (A); US6658962 (B1); US7784363 (B2); US8029414 (B2); US8056423 (B2); US2003150136 (A1); US2010152898 (A1); US2010280659 (A1); US2010280662 (A1); US2011071678 (A1); JPH11253504 (A); JP2002320632 (A); JP2010050226 (A)","","","","",""
"ION EXCHANGE EXOSKELETON AND FILTER ASSEMBLY","US2013199986 (A1)","2013-08-08","MILLER STUART [US]","MANN & HUMMEL GMBH [DE];  MANN & HUMMEL GMBH [DE]","B01D15/36","B01D15/361; B01D35/18; B01J47/024","US201213684207","20121122","US201213684207 20121122; US201261594720P 20120203","US2010044297 (A1); US2796989 (A); US2009294348 (A1); US6503390 (B1); US2009233134 (A1); US5032261 (A); US2005247201 (A1)","","","","","","","","","","","","",""
"MOVEMENT ASSISTANCE DEVICE","US2013197408 (A1); US9693926 (B2)","2013-08-01","GOLDFARB MICHAEL [US];  FARRIS RYAN J [US];  QUINTERO HUGO A [US]","GOLDFARB MICHAEL [US];  FARRIS RYAN J [US];  QUINTERO HUGO A [US];  UNIV VANDERBILT [US]","A61H3/00","A61F5/0102; A61H1/024; A61H1/0244; A61H3/00; B25J9/0006; A61H2201/0107; A61H2201/0176; A61H2201/165; A61H2201/5002; A61H2201/5015; A61H2201/5023; A61H2201/5043; A61H2201/5069; A61H2201/5084; A61H2201/5097","US201113876228","20110927","US201113876228 20110927; WO2011US53501 20110927; US20100386625P 20100927","US2003093021 (A1); US2010217163 (A1); US2009227925 (A1); US2010121232 (A1); US2004102723 (A1); US6666796 (B1); US2008234608 (A1); US6666796 (B1); US2003093021 (A1); US2004102723 (A1); US2008234608 (A1); US2009227925 (A1); US2010121232 (A1); US2010217163 (A1)","","","","","","","","US2007203433 (A1); US2008139968 (A1); AU729913B (B3); CN1586434 (A); EP1260201 (A1); WO2006074029 (A2)","XP011204845; XP031337312; XP011373750; XP031523938; XP031516334","","","",""
"Linearly retractable pressure hose structure","US2013180615 (A1); US8776836 (B2)","2013-07-18","RAGNER GARY DEAN [US];  DEROCHEMONT JR ROBERT DANIEL [US]","RAGNER GARY DEAN [US];  DEROCHEMONT JR ROBERT DANIEL [US]","F16L11/118","F16L11/11; F16L11/111; F16L11/112; F16L11/115; F16L11/118; F16L11/24","US20060343602","20060130","US20050648638P 20050129; US20060343602 20060130; US20020303941 20021125; US20010335497P 20011124; US20050234944 20050926; US20050739323P 20051123","US2396059 (A); US3028290 (A); US3050087 (A); US3486532 (A); US3861424 (A); US4096888 (A); US4136149 (A); US5036890 (A); US6948527 (B2); US2003098084 (A1); US2003111126 (A1); US2006070679 (A1); US2009050227 (A1); US2010108170 (A1)","","","","","","","","US2897840 (A); US2867833 (A); US3349806 (A); US3353996 (A); US3520725 (A); US3623500 (A); US3966121 (A); US4009734 (A); US4050113 (A); US4704765 (A); US4955106 (A); US5023959 (A); US5156349 (A); US5485870 (A); US5526842 (A); US5555915 (A); US5607107 (A); US5740581 (A); US5778941 (A); US6024132 (A); US6024134 (A); US6098666 (A); US6182327 (B1); US6186181 (B1); US6223777 (B1); US6382241 (B1); US6523539 (B2); US2002013974 (A1); US2004231096 (A1); DE2602502 (A1); DE19738329 (A1); EP0965689 (A1); FR2336624 (A1); GB982951 (A); GB1551429 (A); GB2310369 (A); WO8500277 (A1); WO9935954 (A1); WO03024294 (A1)","","","","",""
"Robotic Exoskeleton for Limb Movement","US2013158438 (A1); US8800366 (B2)","2013-06-20","SCOTT STEPHEN H [CA];  BROWN IAN E [CA];  BALL STEPHEN J [CA]","SCOTT STEPHEN H [CA];  BROWN IAN E [CA];  BALL STEPHEN J [CA];  UNIV KINGSTON [CA]","A61B5/103","A61B5/103; A61B5/1038; A61B5/4528; A61H1/0237; A61H1/0262; A61H1/0274; B25J9/0006; A61H2201/1215; A61H2201/1602; A61H2201/1633; A61H2201/1635; A61H2201/1638; A61H2201/164; A61H2201/1659; A61H2201/1676; A61H2201/5064; A61H2201/5084","US201213675609","20121113","US201213675609 20121113; US20080149462 20080501; US20070924135P 20070501","US2003120183 (A1); US6741911 (B2); US2004254679 (A1); US6741911 (B2); US2003120183 (A1); US2004254679 (A1)","","","","","","","","US4566440 (A); US4878663 (A); US5163451 (A); US5231998 (A); US5280783 (A); US5333604 (A); US5466213 (A); US5476441 (A); US5865714 (A); US5899869 (A); US6155993 (A); US6796926 (B2); US6805606 (B1); US6821233 (B1); US8070659 (B2); US2003115954 (A1); US2008009771 (A1); US2008255488 (A1); CN101125112 (A); CN201019972Y (Y); EP0597623 (A1); WO2004058458 (A1); WO2006058442 (A1)","","","","",""
"ORTHESIS SYSTEM AND METHODS FOR CONTROL OF EXOSKELETONS","US2013158445 (A1)","2013-06-20","KAZEROONI HOMAYOON [US];  TUNG WAYNE YI [US];  REID JASON IRA [US];  MCKINLEY MICHAEL GEOFFREY [US]","KAZEROONI HOMAYOON [US];  TUNG WAYNE YI [US];  REID JASON IRA [US];  MCKINLEY MICHAEL GEOFFREY [US];  UNIV CALIFORNIA [US]","A61H3/00","A61H3/00; A61H1/024; A61H1/0244; A61H3/02; A61H3/04; A61H2201/165; A61H2201/1652; A61H2201/5023; A61H2201/5035; A61H2201/5041; A61H2201/5048; A61H2201/5097; A61H2230/105","US201113818338","20110823","US201113818338 20110823; US20100376086P 20100823; US20100385610P 20100923; WO2011US48761 20110823","US2003093021 (A1); US4872665 (A); US2008071386 (A1); US2007282228 (A1); US2004249319 (A1); US5330417 (A); US2005059908 (A1); US6824569 (B2); US4697808 (A); US8046117 (B2); EP0782843 (A2); US2003009302 (A1); EP0782843 (A2); US4697808 (A); US8046117 (B2)","","","","","","","","","","","","",""
"Fire Retardant","US2013149548 (A1)","2013-06-13","WILLIAMS LLEWELLYN ANGELO [US]","WILLIAMS LLEWELLYN ANGELO [US]","C09K21/14; E04B2/84","C09K21/06; C09K21/14; E04B1/94; E04B1/942; E04B2/842; Y10T428/31971","US201213646304","20121005","US201213646304 20121005; US201161545043P 20111007; US201161568577P 20111208","US7481001 (B1); US6248166 (B1); US6074675 (A); US4729853 (A); ES2351451 (A1)","","","","","","","","","","","","",""
"PENILE PROSTHESIS","US2013131443 (A1); US9204966 (B2)","2013-05-23","LE BRIAN V [US];  DUNAND DAVID C [US];  MCVARY KEVIN T [US];  COLOMBO ALBERTO [IT]","UNIV NORTHWESTERN [US];  UNIV NORTHWESTERN [US]","A61F2/26","A61F2/26; A61L27/06; A61L27/50; A61L31/14; A61F2210/0023; A61L2400/16","US201213682179","20121120","US201213682179 20121120; US201161629531P 20111121","US7815674 (B1); US2005125053 (A1); US6273908 (B1); US7794494 (B2); US2005228482 (A1); US5354309 (A); US8092514 (B1); US5456694 (A); US5354309 (A); US5456694 (A); US6273908 (B1); US7794494 (B2); US7815674 (B1); US8092514 (B1); US2005125053 (A1); US2005228482 (A1)","","","","","","","","","","","","",""
"EXOSKELETON MECHANISM FOR JOINT MOVEMENT ASSISTANCE","US2013090580 (A1); US9592174 (B2)","2013-04-11","HONG MANBOK [KR];  KIM KEEHOON [KR]","HONG MANBOK [KR];  KIM KEEHOON [KR];  KOREA INST SCI & TECH [KR]","A61H1/02","A61H1/0277; B25J9/0006; B25J9/0072; A61H2201/1215; A61H2201/149; A61H2201/165; A61H2201/5007; A61H2201/5061","US201213617985","20120914","KR20110101430 20111005","US5067479 (A); US7618381 (B2); US2012179075 (A1); US4521924 (A); US5067479 (A); US7618381 (B2); US2002177905 (A1); US2009326422 (A1); US2010038983 (A1); US2010204804 (A1); US2010249948 (A1); US2012179075 (A1)","","","","","","","","JP2007029113 (A); KR101065420B (B1)","","","","",""
"LIQUID INSECTICIDE INCLUDING DIATOMACEOUS EARTH","US2013089578 (A1)","2013-04-11","SUMULONG SOLITO A [US];  FINLAY GREGORY M [US];  GEDNALSKE JOE V [US];  GEHRING JON MARTIN [US];  HAFLEY MARTYN NEIL RUFUS [US]","WINFIELD SOLUTIONS LLC [US];  WINFIELD SOLUTIONS LLC [US]","A01N59/16; A01N25/04; A01P7/04","A01N59/00; Y02A50/359; A01N59/00; A01N25/04; A01N2300/00","US201213648701","20121010","US201213648701 20121010; US201161545816P 20111011","US2010297259 (A1)","","","","","","","","","","","","",""
"Exoskeleton Boom Structure","US2013071216 (A1); US9121163 (B2)","2013-03-21","DITZLER STEVEN J [US];  STULEN HENRY J [CA]","DITZLER STEVEN J [US];  STULEN HENRY J [CA]","E02F9/14","E02F3/38; E04C2003/0413; E04C2003/0465","US201113236935","20110920","US201113236935 20110920","US2009223093 (A1); US7814730 (B2); US2011002765 (A1); US2013142607 (A1); US3890757 (A); US4045936 (A); US4112649 (A); US2002170212 (A1); US2014334906 (A1); US3890757 (A); US4045936 (A); US4112649 (A); US7814730 (B2); US2002170212 (A1); US2009223093 (A1); US2011002765 (A1); US2013142607 (A1); US2014334906 (A1)","","","","","","","","US3295699 (A); US3616940 (A); US4260064 (A); US5806313 (A); US6322280 (B1); US6443196 (B1); US6612051 (B2); US6872043 (B2); US7008169 (B1); US2012241404 (A1); IN239227 (A)","","","","",""
"EXOSKELETON SUIT FOR ADAPTIVE RESISTANCE TO MOVEMENT","US2013040783 (A1); US9072941 (B2)","2013-02-14","DUDA KEVIN R [US];  ZIMPFER DOUGLAS J [US];  TUOHY SEAMUS T [US];  WEST JOHN J [US]","DRAPER LAB CHARLES S [US];  DUDA KEVIN R [US];  ZIMPFER DOUGLAS J [US];  TUOHY SEAMUS T [US];  WEST JOHN J [US]","A63B71/00","A63B21/0058; A63B21/22; A63B21/222; A63B21/225; A63B21/4011; A63B21/4017; A63B21/4025; A63B21/4043; A63B23/03541; A63B23/03575; A63B69/0057; A63B71/0622; G08B21/0266; G08B21/0453; G08B21/0469; A63B2022/0092; A63B22/0235; A63B2071/0655; A63B2220/16; A63B2220/34; A63B2220/40; A63B2225/50","US201113308132","20111130","US201113308132 20111130; US201161522347P 20110811","US2006004307 (A1); US2007135279 (A1); US2007265140 (A1); US2008214949 (A1); US2008223131 (A1); US8002670 (B2); US2012094814 (A1); US2010179668 (A1); US8002670 (B2); US2006004307 (A1); US2007135279 (A1); US2007265140 (A1); US2008214949 (A1); US2008223131 (A1); US2010179668 (A1); US2012094814 (A1)","","","","","","","","","","","","",""
"Exoskeleton Bridge of Dual-Pivot Brake Allowing Braking Forces to Transmit Through Center Plane of Dual-Pivot Brake","US2013025980 (A1); US8517151 (B2)","2013-01-31","WEHAGE KRISTOPHER [US]","WEHAGE KRISTOPHER [US]","B62L1/16","B60T1/06; B60T11/046; B62L1/16; F16D55/22; F16D65/0056; F16D65/18; F16D2121/14; F16D2125/60; F16D2125/64","US201113191549","20110727","US201113191549 20110727","US2006113151 (A1); US2009038894 (A1); US2010230215 (A1); US4852698 (A); US6776267 (B2); US5425434 (A); US2009078512 (A1); US5188200 (A); US4014408 (A); US4482033 (A); US4014408 (A); US4482033 (A); US4852698 (A); US5188200 (A); US5425434 (A); US6776267 (B2); US2006113151 (A1); US2009038894 (A1); US2009078512 (A1); US2010230215 (A1)","","","","","","","","","","","","",""
"ANKLE HOLSTER WITH FOOT ORTHOSIS AND EXOSKELETON","US2013001264 (A1); US9121673 (B2)","2013-01-03","POPOVICI BRYAN [US]","POPOVICI BRYAN [US]","F41C33/00","F41C33/0209; F41C33/048; F41H1/02","US201113173498","20110630","US201113173498 20110630","US2949111 (A); US3086521 (A); US3805773 (A); US4029242 (A); US4410118 (A); US5727341 (A); US5934531 (A); US6176402 (B1); US2005198872 (A1); US7766851 (B2); US8323224 (B2); US2013228601 (A1); US2013231598 (A1); US2949111 (A); US3086521 (A); US3805773 (A); US4029242 (A); US4410118 (A); US5727341 (A); US5934531 (A); US6176402 (B1); US7766851 (B2); US8323224 (B2); US2005198872 (A1); US2013228601 (A1); US2013231598 (A1)","","","","","","","","","","","","",""
"EXOSKELETON SYSTEM","US2013000021 (A1)","2013-01-03","DOLCETTI JOSEPH CLEARY [MY]","DOLCETTI JOSEPH CLEARY [MY]","A41D13/015; A63B21/065","A41D13/0015; A63B21/065; A63B71/12; G04G21/02; A41D2200/00; A63B21/0603; A63B21/4007; A63B21/4011; A63B21/4017; A63B2071/1208; A63B2071/1233; A63B2071/1241; A63B2071/1258; A63B2071/1266; A63B2209/10; A63B2220/12; A63B2220/17; A63B2220/40; A63B2220/803; A63B2225/68; A63B2225/685; A63B2225/687; A63B2230/06","US201113576034","20110128","MY2010PI00514 20100203; WO2011MY00011 20110128","US4396190 (A); US4989267 (A); US6209135 (B1); US6669608 (B1); US6807680 (B2); US2004216211 (A1); US2006046913 (A1); US7090624 (B1); US2008070760 (A1); US7354385 (B2); US2008280737 (A1); US7615023 (B2); US7708673 (B2); US2010319099 (A1); US8215773 (B2); US2013085040 (A1); US2003092544 (A1)","","","","","","","","","","","","",""
"FLUID CHARACTERISTIC MEASUREMENT","US2012316415 (A1); US9173602 (B2)","2012-12-13","GILBERT PAUL J [US]","GILBERT PAUL J [US]","A61B5/00","A61B5/14539; A61B5/1473; A61B5/6852; A61B5/1427; A61B5/157; A61B2010/0061; A61B10/007; A61B2090/0807; A61M2025/0166; A61M25/09; A61M2025/09008; A61M2025/09183; A61M2205/3324","US201213589686","20120820","US201213589686 20120820; US20100925783 20101029; US20100799123 20100419; US20070769597 20070627; US20060548086 20061010; US20060347481 20060203; US201161524878P 20110818; US20050650806P 20050208","US5197464 (A); US3373735 (A); US2009198182 (A1); US2006060202 (A1); US4994117 (A); US6123075 (A); US4827944 (A); US5916176 (A); US5951492 (A); US5360013 (A); US5339829 (A); US4995402 (A); US4473530 (A); US4151832 (A); US3373735 (A); US4151832 (A); US4473530 (A); US4827944 (A); US4994117 (A); US4995402 (A); US5197464 (A); US5339829 (A); US5360013 (A); US5916176 (A); US5951492 (A); US6123075 (A); US2006060202 (A1); US2009198182 (A1)","","","","","","","","US2657691 (A); US3395710 (A); US4416267 (A); US4516970 (A); US4735214 (A); US4819619 (A); US4879999 (A); US4887997 (A); US4925446 (A); US5105812 (A); US5124129 (A); US5318530 (A); US5334167 (A); US5341803 (A); US5366444 (A); US5387526 (A); US5391158 (A); US5401241 (A); US5411022 (A); US5611787 (A); US5891054 (A); US6544474 (B2); US2003109793 (A1); US2004039350 (A1); US2006189947 (A1); US2007112317 (A1); US2008004598 (A1); US2009221885 (A1); US2010106097 (A1); US2011077495 (A1); EP0251471 (A1); EP1774985 (A1); GB2046595 (A); JP2002191552 (A); WO9221282 (A1)","","","","",""
"Backpack exoskeleton","US2012292361 (A1)","2012-11-22","THIRUPPATHI DEVARAJ [US]","THIRUPPATHI DEVARAJ [US]","A45C15/00","A45F3/047; A45F3/08; A45F3/10","US201113068612","20110516","US201113068612 20110516","","","","","","","","","","","","","",""
"NOVEL METHOD FOR PROCESSING LIGNOCELLULOSE CONTAINING MATERIAL","US2012282660 (A1); US9435077 (B2)","2012-11-08","VAN GROENESTIJN JOHANNES WOUTERUS [NL];  JETTEN JAN MATTHIJS [NL];  VAN DEVENTER HENDRICUS CORNELIS [NL];  SLOMP RONALD [NL];  SLAGHEK THEODOOR MAXIMILIAAN [NL]","VAN GROENESTIJN JOHANNES WOUTERUS [NL];  JETTEN JAN MATTHIJS [NL];  VAN DEVENTER HENDRICUS CORNELIS [NL];  SLOMP RONALD [NL];  SLAGHEK THEODOOR MAXIMILIAAN [NL];  TNO [NL]","C12P19/02; C08B1/00; C08B3/06; C08B11/08; D06M19/00","C08B1/00; C08B1/02; C08B1/06; C08H1/00; C08H1/06; C08H8/00; C12P7/10; D21B1/02; D21B1/021; D21B1/12; D21C1/00; D21C1/02; D21C1/04; D21C1/06; C12P2201/00; C12P2203/00; Y02E50/16","US201013514944","20101210","EP20090178978 20091211; WO2010NL50840 20101210","US6765042 (B1); US2003044951 (A1); US2007031953 (A1); US2009258404 (A1); GB541960 (A); US6765042 (B1); US2003044951 (A1); US2007031953 (A1); US2009258404 (A1); GB541960 (A)","","","","","","","","US5328562 (A); US5473061 (A); US6660506 (B2); US2007249824 (A1); DE831322 (C); DE4329937 (C1); EP0052489 (A2); GB127388 (A); GB349032 (A); GB491842 (A); GB674079 (A)","","","","",""
"METHOD FOR CORRECTING PATHOLOGICAL CONFIGURATIONS OF SEGMENTS OF THE LOWER EXTREMITIES AND DEVICE FOR REALIZING SAME","US2012259259 (A1); US9101451 (B2)","2012-10-11","CHUGUNOV VITALY VIKTOROVICH [RU]","CHUGUNOV VITALY VIKTOROVICH [RU];  ZAKRYTOE AKTSIONERNOE OBSCHESTVO N PROIZV TS OGONEK [RU]","A61F5/01; A61F5/14","A61F5/0102; A61F5/0123; A61F5/0127; A61F5/0193","US201013515855","20101210","EA20100000171 20091215; EA20100001788 20101112; EA20110000041 20101126; WO2010RU00746 20101210","US2007123997 (A1); US2008234608 (A1); US2010036302 (A1); US2010094185 (A1); US2007123997 (A1); US2008234608 (A1); US2010036302 (A1); US2010094185 (A1)","","","","","","","","US5362305 (A); US5658242 (A); US6540703 (B1); FR2802801 (A1); GB2301776 (A); JP2006087478 (A); RU2241500 (C1); RU2307640 (C1); RU2309709 (C1)","","","","",""
"EXOSKELETON AND FOOTWEAR ATTACHMENT SYSTEM","US2012256381 (A1); US8876123 (B2)","2012-10-11","BRADSHAW ERIK GAWAIN [NZ]","BRADSHAW ERIK GAWAIN [NZ]","A63C9/00; A63C1/04; A63C10/10","A43C15/068; A63C1/04; A63C1/18; A63C9/002; A63C9/02; A63C10/06; A63C10/08; A63C10/045; A63C2201/06; A63C2203/06","US201213438139","20120403","US201213438139 20120403; US201161471887P 20110405","US919118 (A); US1116179 (A); US2776499 (A); US3060600 (A); US3344538 (A); US3861399 (A); US4176459 (A); US4249321 (A); US4302890 (A); US4353172 (A); US4620375 (A); US4660303 (A); US4910883 (A); US5014448 (A); US5740621 (A); US5836090 (A); US5901471 (A); US5970632 (A); US6170175 (B1); US6185846 (B1); US6256908 (B1); US2001015023 (A1); US6374518 (B2); US2002104234 (A1); US6481121 (B1); US2002189133 (A1); US2003037461 (A1); US2003101623 (A1); US2003167657 (A1); US6742286 (B2); US2004148808 (A1); US6814360 (B2); US6810607 (B2); US6964118 (B2); US2006084899 (A1); US7089688 (B2); US2007045987 (A1); US2007163154 (A1); US2008172908 (A1); US2008184599 (A1); US7472497 (B2); US7497034 (B2); US7509757 (B2); US2009179403 (A1); US7661207 (B2); US7735851 (B2); US2010307029 (A1); US2012025479 (A1); US2013180130 (A1); US8590177 (B1); US8595958 (B2); US919118 (A); US1116179 (A); US2776499 (A); US3060600 (A); US3344538 (A); US3861399 (A); US4176459 (A); US4249321 (A); US4302890 (A); US4353172 (A); US4620375 (A); US4660303 (A); US4910883 (A); US5014448 (A); US5740621 (A); US5836090 (A); US5901471 (A); US5970632 (A); US6170175 (B1); US6185846 (B1); US6256908 (B1); US6374518 (B2); US6481121 (B1); US6742286 (B2); US6810607 (B2); US6814360 (B2); US6964118 (B2); US7089688 (B2); US7472497 (B2); US7497034 (B2); US7509757 (B2); US7661207 (B2); US7735851 (B2); US8590177 (B1); US8595958 (B2); US2001015023 (A1); US2002104234 (A1); US2002189133 (A1); US2003037461 (A1); US2003101623 (A1); US2003167657 (A1); US2004148808 (A1); US2006084899 (A1); US2007045987 (A1); US2007163154 (A1); US2008172908 (A1); US2008184599 (A1); US2009179403 (A1); US2010307029 (A1); US2012025479 (A1); US2013180130 (A1)","","","","","","","","US2673743 (A); US3747235 (A); US3822491 (A); US4032172 (A); US4420895 (A); US4768805 (A); US4836572 (A); US4901454 (A); US4909531 (A); US4955149 (A); US5066036 (A); US5090138 (A); US5338053 (A); US5449192 (A); US5518264 (A); USD375773S (S); US5727808 (A); US5784810 (A); US5794963 (A); US5815953 (A); US5823563 (A); US5894684 (A); US5897127 (A); US5924719 (A); US5937546 (A); US5947507 (A); US5957478 (A); US6017050 (A); USD425162S (S); US6168172 (B1); US6209229 (B1); US6322095 (B1); US6406040 (B1); US6409204 (B1); US6520531 (B1); US6648364 (B2); US6685213 (B2); US6691434 (B1); US6877759 (B2); US6889997 (B2); US7178821 (B2); US7681905 (B2); US2006086006 (A1); US2007256331 (A1); US2008047168 (A1); US2008287850 (A1)","","","","",""
"CONSTRUCTION SYSTEM USING INTERLOCKING PANELS","US2012247038 (A1)","2012-10-04","BLACK JEFFREY [US]","BLACK JEFFREY [US];  IFRAME BUILDING SOLUTIONS LLC [US]","E04B1/62; E04B2/00; E04B2/46; E04C2/20; E04C2/22; E04C2/52","E04C2/22; E04C2/384","US201213418849","20120313","US201213418849 20120313; US20100715288 20100301; US20090157021P 20090303","US5799462 (A); US5893248 (A); US6701684 (B2); US6880304 (B1); US2005204699 (A1); US2006117689 (A1); US2006179737 (A1); US2006251851 (A1); US2007227086 (A1); US2008083180 (A1); US2008209832 (A1)","","","","","","","","","","","","",""
"INJECTION MOLDED FOOTWEAR AND RELATED METHOD OF MANUFACTURE","US2012199277 (A1); US8372234 (B2)","2012-08-09","LOVEDER CHRISTOPHER J [US]","LOVEDER CHRISTOPHER J [US];  WOLVERINE WORLD WIDE INC [US]","B32B37/24; A43D86/00; B32B37/02; B32B37/06","A43B1/0027; A43B1/0072; A43B3/26; A43B9/00; A43B23/0235; B29D35/0018; B29D35/061; B29D35/122; B29D35/126; Y10T156/10","US201113023193","20110208","US201113023193 20110208","US5449428 (A); US5647150 (A); US5899006 (A); US6289528 (B1); US6539646 (B2); US2003097770 (A1); US2006017195 (A1)","","","","","","","","US2034091 (A); US2622052 (A); US3504450 (A); US3525165 (A); US3650051 (A); US4232458 (A); US4693021 (A); US4704808 (A); US4785558 (A); US5437112 (A); US5511323 (A); US6216366 (B1); US6233845 (B1); US6299962 (B1); US6533885 (B2); US7047668 (B2); US2002071946 (A1); US2006107552 (A1); US2007199210 (A1); US2007245595 (A1); US2009183392 (A1); US2010139122 (A1); EP0342462 (A2); EP1230867 (A1); EP1430803 (A2); WO2005014268 (A2)","","","","",""
"FOOTWEAR AND RELATED METHOD OF MANUFACTURE","US2012198730 (A1); US8789295 (B2)","2012-08-09","BURCH JOHN H [US];  BANIK GARY J [US]","BURCH JOHN H [US];  BANIK GARY J [US];  WOLVERINE WORLD WIDE INC [US]","A43B13/14; A43B13/12; A43D9/00; B29C45/14; B29C65/02; B29D35/10; B29D35/12; B32B37/24; B32B38/04","A43B23/0215; A43B23/0235; A43B23/024; A43B23/0245; A43B23/0255; A43B23/026; A43B23/042; B29D35/0009; B29D35/02; B29D35/146; B29D35/148","US201113023182","20110208","US201113023182 20110208","US3605294 (A); US1952628 (A); US2011258881 (A1); US1952628 (A); US3605294 (A); US2011258881 (A1)","","","","","","","","US2034091 (A); US2622052 (A); US3504450 (A); US3525165 (A); US3650051 (A); US4232458 (A); US4447967 (A); US4693021 (A); US4704808 (A); US4785558 (A); US5437112 (A); US5511323 (A); US5647150 (A); US6216366 (B1); US6233845 (B1); US6299962 (B1); US6533885 (B2); US7047668 (B2); US2002071946 (A1); US2005268497 (A1); US2006017195 (A1); US2006048413 (A1); US2006107552 (A1); US2006283042 (A1); US2007180730 (A1); US2007199210 (A1); US2007245595 (A1); US2009183392 (A1); US2009313853 (A1); US2010139122 (A1); US2012180340 (A1); US2012180341 (A1); US2012180344 (A1); CA2634260 (A1); CN1342046 (A); CN1829455 (A); EP0342462 (A2); EP1230867 (A1); EP1430803 (A2); WO9003744 (A1); WO2005014268 (A2)","","","","",""
